,name,avg_rating,reviews_count,company_type,Head_Quarters,Company_Age,No_of_Employee
4491,Rithwik Projects,3.6,(91 Reviews),Hyderabad + 14 more,23 years old,501-1k employees (Global),
4492,Writer Information...,3.6,(91 Reviews),Private,Mumbai + 15 more,35 years old,5k-10k employees (Global)
4493,Nyati Group,4.3,(91 Reviews),Private,"Pune,Maharashtra + 5 more",25 years old,51-200 employees (India)
4494,Enaltec Labs,3.9,(91 Reviews),"Navi Mumbai,Maharashtra + 5 more",16 years old,501-1k employees (Global),
4495,BDR Pharmaceutical...,3.9,(91 Reviews),Private,"Mumbai,Maharashtra + 8 more",20 years old,51-200 employees (Global)
4496,Atyati Technologie...,4.1,(91 Reviews),"Bangalore/Bengaluru,Karnataka + 24 more",15 years old,51-200 employees (India),
4497,Go Speedy Go,4.5,(91 Reviews),Private,Bhubaneswar + 4 more,5 years old,501-1k employees (Global)
4498,Beri Udyog,3.9,(91 Reviews),"Karnal,Haryana + 8 more",44 years old,501-1k employees (Global),
4499,ITCube Solutions,3.3,(91 Reviews),Private,"Pune,Maharashtra + 2 more",19 years old,201-500 employees (Global)
4500,Moglix,3.2,(91 Reviews),Private,Singapore + 16 more,7 years old,501-1k employees (Global)
4501,Scholastic,4.1,(102 Reviews),Private,"Gurgaon/Gurugram,Haryana + 23 more",25 years old,5k-10k employees (Global)
4502,Supreme Infrastruc...,3.4,(90 Reviews),Public,Mumbai + 15 more,39 years old,501-1k employees (Global)
4503,Moody Internationa...,4.2,(90 Reviews),Private,Haywards Heath + 20 more,111 years old,201-500 employees (Global)
4504,Godawari Power & I...,4.5,(90 Reviews),Public,"Raipur,Chhattisgarh + 4 more",23 years old,1k-5k employees (Global)
4505,AYTB,4.1,(90 Reviews),Private,Al Jubail + 6 more,43 years old,51-200 employees (India)
4506,DCW,4.0,(90 Reviews),Public,"Mumbai,Maharashtra + 8 more",97 years old,1k-5k employees (India)
4507,Serdia Pharmaceuti...,4.2,(90 Reviews),Private,"Mumbai,Maharashtra + 19 more",36 years old,501-1k employees (India)
4508,Biotique,3.2,(90 Reviews),Private,"Noida,Uttar Pradesh + 18 more",22 years old,201-500 employees (Global)
4509,NSL Sugars,4.1,(90 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 11 more",23 years old,5k-10k employees (Global)
4510,Sindhu Cargo Servi...,3.4,(90 Reviews),Private,Bengaluru + 8 more,35 years old,501-1k employees (Global)
4511,Saija Finance,3.7,(90 Reviews),"Patna,Bihar + 18 more",15 years old,501-1k employees (India),
4512,RAK BANK,4.0,(90 Reviews),"Ras Al Khaimah,Ras Al Khaimah + 4 more",46 years old,1k-5k employees (Global),
4513,Royal Research,2.7,(90 Reviews),Private,Kolkata + 3 more,9 years old,201-500 employees (Global)
4514,VIVO Healthcare,2.9,(90 Reviews),"Gurgaon/Gurugram,Haryana + 14 more",13 years old,201-500 employees (Global),
4515,Xpo Logistics,3.5,(90 Reviews),"Greenwich,Connecticut + 13 more",11 years old,1 Lakh+ employees (Global),
4516,Sagar Cements,4.5,(90 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 7 more",37 years old,501-1k employees (Global)
4517,Universal Corporat...,3.4,(90 Reviews),Private,"Kikuyu,Nairobi + 22 more",23 years old,11-50 employees (India)
4518,Texport Industries,4.2,(90 Reviews),Private,"Mumbai,Maharashtra + 5 more",44 years old,5k-10k employees (Global)
4519,CIBERsites India,3.2,(90 Reviews),Private,Troy + 2 more,48 years old,501-1k employees (India)
4520,Barco Electronic S...,4.4,(90 Reviews),Private,Kortrijk + 4 more,88 years old,501-1k employees (India)
4521,TJSB Sahakari Bank,4.2,(90 Reviews),Private,Thane + 17 more,50 years old,201-500 employees (India)
4522,Trident Automobile...,4.2,(90 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 3 more",24 years old,201-500 employees (India)
4523,GM Modular,4.1,(90 Reviews),Private,"Mumbai,Maharashtra + 20 more",22 years old,501-1k employees (Global)
4524,Salini Impregilo,4.5,(90 Reviews),Private,Milan + 4 more,8 years old,51-200 employees (India)
4525,Satvat Infosol,3.8,(90 Reviews),Private,"Chennai,Tamil Nadu + 1 more",23 years old,201-500 employees (India)
4526,Nipro India Corpor...,3.8,(90 Reviews),"Satara,Maharashtra + 9 more",12 years old,1k-5k employees (Global),
4527,Viteos Capital Mar...,3.6,(90 Reviews),Private,New York + 2 more,19 years old,501-1k employees (India)
4528,Tulip Diagnostics,4.3,(90 Reviews),Private,Goa + 28 more,34 years old,1k-5k employees (Global)
4529,Velan Info Service...,4.3,(90 Reviews),Private,"Dover,Delaware + 1 more",15 years old,201-500 employees (India)
4530,Aamby Valley City,4.2,(90 Reviews),Public,Pune + 4 more,19 years old,1k-5k employees (Global)
4531,Amity Internationa...,4.7,(90 Reviews),Noida + 8 more,28 years old,5k-10k employees (India),
4532,TEXILA AMERICAN UN...,4.7,(90 Reviews),Private,Guyana + 4 more,12 years old,11-50 employees (India)
4533,Mövenpick Hotels &...,4.4,(90 Reviews),Private,Paris + 16 more,49 years old,51-200 employees (India)
4534,Caplin Point Labor...,3.9,(90 Reviews),Public,"Chennai,Tamil Nadu + 5 more",32 years old,201-500 employees (Global)
4535,Emrill Services LL...,4.4,(90 Reviews),Dubai + 2 more,20 years old,5k-10k employees (Global),
4536,Sigma Supply Chain...,3.8,(90 Reviews),Private,Noida + 20 more,15 years old,501-1k employees (Global)
4537,Dream India School...,4.0,(90 Reviews),Private,Hyderabad + 31 more,9 years old,1k-5k employees (Global)
4538,Koch Business Solu...,3.3,(90 Reviews),Private,Kansas + 1 more,82 years old,1 Lakh+ employees (Global)
4539,SMS Pharmaceutical...,3.3,(90 Reviews),Public,Hyderabad + 3 more,32 years old,1k-5k employees (Global)
4540,Arkray Healthcare,4.1,(90 Reviews),Private,Kyoto + 17 more,62 years old,1k-5k employees (Global)
4541,Crescendo Global,4.8,(90 Reviews),"Gurgaon/Gurugram,Haryana + 1 more",8 years old,51-200 employees (India),
4542,Manba Finance,3.2,(90 Reviews),"Mumbai,Maharashtra + 8 more",26 years old,501-1k employees (Global),
4543,Torque Pharmaceuti...,4.2,(90 Reviews),Private,"Chandigarh,Chandigarh + 19 more",37 years old,1k-5k employees (Global)
4544,African Industries,3.1,(90 Reviews),Private,Lagos + 6 more,51 years old,5k-10k employees (Global)
4545,AgreeYa Solutions,2.9,(90 Reviews),Private,"Folsom,California + 6 more",23 years old,1k-5k employees (Global)
4546,Maral Overseas,3.9,(89 Reviews),Public,"Delhi/NCR,Delhi + 6 more",31 years old,501-1k employees (Global)
4547,Costa Coffee,4.1,(89 Reviews),Private,Dunstable + 15 more,51 years old,10k-50k employees (Global)
4548,Aristocrat Technol...,3.9,(89 Reviews),Private,"North Ryde,NSW + 4 more",69 years old,201-500 employees (India)
4549,Unity Infraproject...,3.6,(89 Reviews),Public,"Mumbai,Maharashtra + 15 more",43 years old,1k-5k employees (Global)
4550,GD Goenka Universi...,3.7,(89 Reviews),Private,"Gurgaon/Gurugram,Haryana + 19 more",9 years old,201-500 employees (Global)
4551,Entercoms,3.6,(89 Reviews),Private,"Irving,Texas",18 years old,201-500 employees (Global)
4552,ICFAI Business Sch...,4.3,(89 Reviews),Private,Hyderabad + 25 more,27 years old,1k-5k employees (Global)
4553,Tecumseh Products,3.5,(89 Reviews),Private,"Ann Arbor,Michigan + 6 more",88 years old,201-500 employees (India)
4554,Diamond Beverages,3.8,(89 Reviews),Private,Kolkata + 3 more,27 years old,11-50 employees (Global)
4555,doodleblue innovat...,4.6,(89 Reviews),Private,"Chennai,Tamil Nadu",11 years old,201-500 employees (India)
4556,Pebs Pennar,3.6,(89 Reviews),Private,Hyderabad + 9 more,14 years old,201-500 employees (Global)
4557,Epson,4.3,(89 Reviews),Suwa + 33 more,80 years old,501-1k employees (India),
4558,Entercoms,3.6,(89 Reviews),Private,"Irving,Texas",18 years old,201-500 employees (Global)
4559,Prestige Estates P...,4.4,(89 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 5 more",36 years old,1k-5k employees (India)
4560,Nehru Yuva Kendra ...,4.3,(89 Reviews),New Delhi + 47 more,50 years old,,
4561,MJ Biopharm,4.0,(89 Reviews),"Mumbai,Maharashtra + 7 more",35 years old,201-500 employees (Global),
4562,Logicon Facility M...,3.7,(89 Reviews),Pune + 5 more,16 years old,1k-5k employees (Global),
4563,Grivaa Capital,4.6,(89 Reviews),Private,New Delhi + 2 more,7 years old,11-50 employees (India)
4564,Epson,4.3,(89 Reviews),Suwa + 33 more,80 years old,501-1k employees (India),
4565,Maral Overseas,3.9,(89 Reviews),Public,"Delhi/NCR,Delhi + 6 more",31 years old,501-1k employees (Global)
4566,NIKE,4.5,(89 Reviews),Public,"Beaverton,Oregon + 25 more",58 years old,50k-1 Lakh employees (Global)
4567,Ansal Properties &...,3.6,(89 Reviews),Public,"Delhi/NCR,New Delhi + 10 more",55 years old,1k-5k employees (Global)
4568,Unity Infraproject...,3.6,(89 Reviews),Public,"Mumbai,Maharashtra + 15 more",43 years old,1k-5k employees (Global)
4569,Ministry Of Educat...,4.3,(89 Reviews),Private,Male + 13 more,51-200 employees (India),
4570,CANTABIL RETAIL IN...,3.8,(89 Reviews),Public,"Delhi/NCR,New Delhi + 26 more",22 years old,1k-5k employees (Global)
4571,Kriti Industries,4.1,(89 Reviews),Public,Indore + 15 more,39 years old,501-1k employees (Global)
4572,Pebs Pennar,3.6,(89 Reviews),Private,Hyderabad + 9 more,14 years old,201-500 employees (Global)
4573,Paradise Food Cour...,4.1,(89 Reviews),"Hyderabad/Secunderabad,Telangana + 6 more",69 years old,1k-5k employees (Global),
4574,Deep Industries,3.0,(89 Reviews),Public,"Ahmedabad,Gujarat + 7 more",31 years old,501-1k employees (Global)
4575,SEForge,3.7,(89 Reviews),Private,Coimbatore + 3 more,16 years old,201-500 employees (India)
4576,Lumino Industries,3.9,(89 Reviews),"Kolkata,West Bengal + 10 more",33 years old,51-200 employees (Global),
4577,Eaton Power Qualit...,4.0,(89 Reviews),"New Delhi,Delhi + 10 more",111 years old,50k-1 Lakh employees (Global),
4578,Pearl Polymers,4.2,(89 Reviews),Public,"Delhi/NCR,Delhi + 13 more",38 years old,501-1k employees (Global)
4579,Domino Printech,4.1,(89 Reviews),LLP,"Gurgaon/Gurugram,Haryana + 18 more",26 years old,201-500 employees (Global)
4580,Maharishi Markande...,4.0,(89 Reviews),Ambala + 2 more,29 years old,501-1k employees (India),
4581,Aristocrat Technol...,3.9,(89 Reviews),Private,"North Ryde,NSW + 4 more",69 years old,201-500 employees (India)
4582,doodleblue innovat...,4.6,(89 Reviews),Private,"Chennai,Tamil Nadu",11 years old,201-500 employees (India)
4583,Falcon Autotech,3.9,(89 Reviews),Private,"Noida,Uttar Pradesh + 4 more",18 years old,201-500 employees (Global)
4584,VIKRAN Engineering...,4.2,(89 Reviews),Private,Thane + 19 more,14 years old,501-1k employees (Global)
4585,Cloud4C,4.3,(89 Reviews),Private,Singapore + 1 more,8 years old,501-1k employees (India)
4586,LEAD School,3.9,(89 Reviews),Mumbai + 18 more,9 years old,1k-5k employees (India),
4587,Loadshare Networks,3.9,(89 Reviews),Private,Bangalore + 28 more,5 years old,201-500 employees (India)
4588,Lanson Toyota,4.3,(88 Reviews),Private,Chennai + 5 more,22 years old,5k-10k employees (India)
4589,Phenix Constructio...,4.2,(88 Reviews),Private,"Ahmedabad,Gujarat + 9 more",15 years old,501-1k employees (Global)
4590,Ramky Group,4.4,(88 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 23 more",28 years old,5k-10k employees (Global)
4591,DAS Offshore Engin...,4.4,(88 Reviews),Private,"Navi Mumbai,Maharashtra + 3 more",30 years old,201-500 employees (India)
4592,Asia Motor Works,3.3,(88 Reviews),Private,Mumbai + 12 more,20 years old,1k-5k employees (Global)
4593,T.R. Sawhney Motor...,3.4,(88 Reviews),Private,New Delhi + 8 more,35 years old,201-500 employees (Global)
4594,Vesuvius,3.8,(88 Reviews),Public,London + 8 more,31 years old,10k-50k employees (Global)
4595,American Express G...,4.1,(88 Reviews),Private,"New York,New York + 10 more",6 years old,10k-50k employees (Global)
4596,Imedx Information ...,3.3,(88 Reviews),Atlanta + 4 more,20 years old,1k-5k employees (Global),
4597,City Montessori Sc...,4.0,(88 Reviews),"Lucknow,Uttar Pradesh + 9 more",63 years old,1k-5k employees (India),
4598,Arch Pharmalabs,4.0,(88 Reviews),Private,Mumbai + 8 more,23 years old,1k-5k employees (Global)
4599,V2 Solutions,3.9,(88 Reviews),Private,"Santa Clara,California + 6 more",19 years old,501-1k employees (Global)
4600,Orient Paper Mill,3.6,(88 Reviews),Kolkata + 6 more,83 years old,1k-5k employees (Global),
4601,Venkateshwar Hospi...,3.0,(88 Reviews),Private,"Delhi/NCR,Delhi + 2 more",17 years old,201-500 employees (Global)
4602,MKCL,4.0,(88 Reviews),Private,Pune + 20 more,21 years old,201-500 employees (Global)
4603,Leena Powertech En...,3.5,(88 Reviews),Private,Mumbai + 6 more,27 years old,501-1k employees (Global)
4604,Indian Political A...,3.4,(88 Reviews),"Hyderabad/Secunderabad,Telangana + 10 more",7 years old,201-500 employees (Global),
4605,Etihad Airways,4.2,(88 Reviews),Private,Abu Dhabi + 11 more,19 years old,10k-50k employees (Global)
4606,MTS,4.4,(88 Reviews),Private,"Minnesota,Hennepin + 35 more",56 years old,1k-5k employees (India)
4607,TCS e-Serve Intern...,3.7,(88 Reviews),Private,Mumbai + 17 more,5k-10k employees (India),
4608,Nobel Hygiene,3.7,(88 Reviews),"Mumbai,Maharashtra + 21 more",22 years old,201-500 employees (Global),
4609,Vastu Housing Fina...,4.2,(88 Reviews),Private,"Mumbai,Maharashtra + 33 more",7 years old,1k-5k employees (India)
4610,Dunkin' Donuts,4.1,(88 Reviews),Canton + 17 more,72 years old,1k-5k employees (Global),
4611,Gautam Solar,3.4,(88 Reviews),Private,New Delhi + 9 more,25 years old,501-1k employees (Global)
4612,Doosan Heavy Indus...,4.2,(88 Reviews),Private,Seoul + 12 more,60 years old,5k-10k employees (Global)
4613,SDG Software,4.2,(88 Reviews),Private,"Noida,Uttar Pradesh + 1 more",29 years old,201-500 employees (India)
4614,Peps Industries,3.6,(88 Reviews),Bangalore + 19 more,16 years old,1k-5k employees (Global),
4615,XenonStack,4.4,(88 Reviews),Private,"SunnyVale,California",10 years old,51-200 employees (India)
4616,Lester Infoservice...,3.6,(88 Reviews),Private,"East Haven,Connecticut + 1 more",41 years old,1k-5k employees (Global)
4617,Al Naboodah,4.5,(88 Reviews),Dubai + 7 more,64 years old,10k-50k employees (Global),
4618,Accuster Technolog...,3.2,(88 Reviews),Private,"Delhi/NCR,New Delhi + 6 more",13 years old,501-1k employees (Global)
4619,LimeRoad,3.4,(88 Reviews),Private,Gurgaon + 3 more,10 years old,501-1k employees (India)
4620,Bharti Retail,4.3,(88 Reviews),Private,New Delhi + 33 more,46 years old,201-500 employees (India)
4621,Fawaz Alhokair Gro...,4.2,(88 Reviews),Private,Riyadh + 5 more,32 years old,11-50 employees (India)
4622,Anand CY Myutec Au...,4.2,(88 Reviews),Gurugram + 3 more,30 years old,201-500 employees (India),
4623,Nippon Toyota,4.5,(88 Reviews),Private,"Kochi/Cochin,Kerala + 9 more",23 years old,201-500 employees (India)
4624,Eye-Q Super Specia...,3.8,(88 Reviews),Gurugram + 19 more,15 years old,501-1k employees (Global),
4625,Shanthi Gears,4.0,(88 Reviews),Public,"Coimbatore,Tamil Nadu + 5 more",53 years old,501-1k employees (India)
4626,Tata Steel Long Pr...,3.9,(88 Reviews),Public,Keonjhar + 6 more,40 years old,1k-5k employees (Global)
4627,Tata Ficosa Automo...,4.0,(88 Reviews),Pune + 7 more,24 years old,201-500 employees (India),
4628,ACT Plast Paints,4.0,(88 Reviews),Private,Kancheepuram + 2 more,16 years old,51-200 employees (Global)
4629,Novozymes South As...,4.0,(88 Reviews),Private,Bagsværd + 6 more,22 years old,5k-10k employees (Global)
4630,Myoung Shin India ...,4.1,(88 Reviews),Private,"Kanchipuram,Tamil Nadu + 3 more",16 years old,51-200 employees (India)
4631,Bry-Air (Asia),4.1,(88 Reviews),Private,"Gurgaon/Gurugram,Haryana + 8 more",41 years old,1k-5k employees (Global)
4632,Videojet Technolog...,4.3,(88 Reviews),Private,"Wood Dale,Illinois + 16 more",27 years old,1k-5k employees (Global)
4633,LEAD School,3.9,(88 Reviews),Mumbai + 18 more,9 years old,1k-5k employees (India),
4634,Publicis,3.8,(1.4k Reviews),Private,Paris + 6 more,96 years old,10k-50k employees (Global)
4635,Indian Institute o...,4.5,(105 Reviews),Kozhikode + 15 more,,,
4636,Agappe Diagnostics,4.1,(87 Reviews),Private,"Ernakulam,Kerala + 18 more",24 years old,201-500 employees (Global)
4637,Global Cloud Xchan...,3.3,(87 Reviews),Private,"Hamilton,Bermuda + 5 more",34 years old,1k-5k employees (Global)
4638,KGK Group,3.6,(87 Reviews),Private,Kowloon + 9 more,117 years old,10k-50k employees (Global)
4639,Virinchi Technolog...,3.4,(87 Reviews),Private,Edison + 1 more,31 years old,1k-5k employees (India)
4640,Phenom,4.3,(87 Reviews),Private,"Ambler,Pennsylvania + 1 more",11 years old,501-1k employees (India)
4641,Swiss Re,4.2,(87 Reviews),Zurich + 1 more,159 years old,1k-5k employees (India),
4642,Shriram EPC,4.3,(87 Reviews),Public,"Chennai,Tamil Nadu + 9 more",22 years old,201-500 employees (India)
4643,Peerless Hospital,4.1,(87 Reviews),Private,"Kolkata,West Bengal + 4 more",90 years old,1k-5k employees (Global)
4644,e-Zest,3.7,(87 Reviews),Public,"Pune,Maharashtra",22 years old,501-1k employees (India)
4645,SKS Ispat & Power,3.7,(87 Reviews),Private,"Delhi/NCR,Delhi + 4 more",22 years old,201-500 employees (Global)
4646,SBI Capital Market...,3.1,(87 Reviews),Public,"Mumbai,Maharashtra + 30 more",36 years old,1k-5k employees (Global)
4647,ABSAS Solutions,2.7,(87 Reviews),Private,Noida + 2 more,13 years old,201-500 employees (Global)
4648,Bombay Stock Excha...,3.9,(87 Reviews),Mumbai + 7 more,147 years old,1k-5k employees (Global),
4649,SODECIA,3.6,(87 Reviews),Private,"Porto,Maia + 6 more",42 years old,5k-10k employees (Global)
4650,Himalaya Opticals,4.1,(87 Reviews),Private,"Kolkata,West Bengal + 20 more",87 years old,201-500 employees (India)
4651,Apex Hospital,4.0,(87 Reviews),Private,"Jaipur,Rajasthan + 18 more",28 years old,51-200 employees (Global)
4652,Garden Reach Shipb...,4.3,(87 Reviews),Kolkata + 3 more,88 years old,1k-5k employees (Global),
4653,e-Zest,3.7,(87 Reviews),Public,"Pune,Maharashtra",22 years old,501-1k employees (India)
4654,Global Cloud Xchan...,3.3,(87 Reviews),Private,"Hamilton,Bermuda + 5 more",34 years old,1k-5k employees (Global)
4655,Sigma,3.9,(87 Reviews),Private,"Altidona,Missouri + 22 more",23 years old,201-500 employees (Global)
4656,HealthifyMe,3.4,(87 Reviews),Private,Singapore + 9 more,10 years old,501-1k employees (Global)
4657,Interface Microsys...,4.0,(87 Reviews),Private,"Gurgaon/Gurugram,Haryana + 4 more",38 years old,201-500 employees (Global)
4658,Gerdau Steel India,4.2,(87 Reviews),Private,Bangalore + 3 more,29 years old,501-1k employees (Global)
4659,Radium Creation,3.1,(87 Reviews),Private,Mumbai + 3 more,31 years old,1k-5k employees (Global)
4660,Chaitanya India Fi...,4.4,(87 Reviews),Private,Bangalore + 35 more,13 years old,1k-5k employees (India)
4661,Doubtnut,3.3,(87 Reviews),Private,Gurgaon + 11 more,6 years old,201-500 employees (India)
4662,Tata Consumer Prod...,3.6,(87 Reviews),"Mumbai,Maharashtra + 40 more",60 years old,1k-5k employees (Global),
4663,Frost & Sullivan,3.3,(87 Reviews),Private,"Santa Clara,California + 6 more",61 years old,1k-5k employees (Global)
4664,Radix Electrosyste...,3.1,(87 Reviews),"Navi Mumbai,Maharashtra + 9 more",42 years old,201-500 employees (Global),
4665,TCL,4.2,(87 Reviews),Private,Huizhou + 18 more,41 years old,51-200 employees (India)
4666,PurpleTalk,3.9,(87 Reviews),Private,Dallas + 1 more,14 years old,501-1k employees (Global)
4667,Celebrity Cruises,4.7,(87 Reviews),Miami + 3 more,33 years old,501-1k employees (India),
4668,Saama Technologies,3.9,(87 Reviews),Private,"Campbell,California",25 years old,201-500 employees (India)
4669,Oaknet Healthcare,4.0,(87 Reviews),"Mumbai,Maharashtra + 20 more",7 years old,1k-5k employees (Global),
4670,National Highways ...,4.0,(87 Reviews),"Delhi/NCR,Delhi + 42 more",34 years old,,
4671,United Nations Dev...,4.5,(87 Reviews),"New York,New York + 23 more",57 years old,10k-50k employees (Global),
4672,JAY JAY MILLS,3.8,(87 Reviews),"Tirupur/Tiruppur,Tamil Nadu + 6 more",51 years old,1k-5k employees (Global),
4673,Rasandik Engineeri...,3.5,(87 Reviews),Public,"Delhi/NCR,Delhi + 7 more",36 years old,501-1k employees (Global)
4674,Meneta Automotive ...,3.6,(87 Reviews),Private,Sonipat + 4 more,15 years old,501-1k employees (Global)
4675,Amanta Healthcare,3.8,(87 Reviews),Private,Ahmedabad + 6 more,24 years old,201-500 employees (Global)
4676,LUX Industries,4.2,(87 Reviews),Public,Kolkata + 12 more,65 years old,501-1k employees (Global)
4677,Koenig Solutions,3.3,(87 Reviews),Private,"Delhi/NCR,Delhi + 5 more",29 years old,201-500 employees (India)
4678,Netmeds.com,4.0,(87 Reviews),"Chennai,Tamil Nadu + 9 more",7 years old,501-1k employees (Global),
4679,Rasandik Engineeri...,3.5,(87 Reviews),Public,"Delhi/NCR,Delhi + 7 more",36 years old,501-1k employees (Global)
4680,Biophore India Pha...,3.8,(87 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 1 more",15 years old,201-500 employees (India)
4681,United Nations Dev...,4.5,(87 Reviews),"New York,New York + 23 more",57 years old,10k-50k employees (Global),
4682,HealthifyMe,3.4,(87 Reviews),Private,Singapore + 9 more,10 years old,501-1k employees (Global)
4683,Alpha Design Techn...,4.0,(86 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 7 more",19 years old,501-1k employees (Global)
4684,Municipal Corporat...,3.8,(86 Reviews),Public,Mumbai + 3 more,134 years old,5k-10k employees (Global)
4685,Veritaz Healthcare,3.9,(86 Reviews),Private,Hyderabad + 22 more,17 years old,201-500 employees (India)
4686,Shriram Properties,3.3,(86 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 6 more",27 years old,501-1k employees (Global)
4687,Frost & Sullivan,3.2,(86 Reviews),Private,"Santa Clara,California + 6 more",61 years old,1k-5k employees (Global)
4688,Graphite India,3.7,(86 Reviews),Public,"Nasik/Nashik,Maharashtra + 4 more",60 years old,1k-5k employees (Global)
4689,Paperchase Account...,3.5,(86 Reviews),Private,New York,33 years old,1k-5k employees (Global)
4690,Delhi Police,3.5,(86 Reviews),Private,New Delhi + 9 more,161 years old,50k-1 Lakh employees (Global)
4691,TITAGARH WAGONS,3.3,(86 Reviews),Public,"Kolkata,West Bengal + 4 more",24 years old,501-1k employees (Global)
4692,UFO Moviez,3.8,(86 Reviews),Public,"Mumbai,Maharashtra + 19 more",17 years old,501-1k employees (Global)
4693,Kopran,4.0,(86 Reviews),Public,"Mumbai,Maharashtra + 11 more",64 years old,501-1k employees (Global)
4694,Vistaprint,4.1,(86 Reviews),Private,Mumbai + 7 more,10 years old,1k-5k employees (India)
4695,Skypro Technologie...,3.5,(86 Reviews),"Bangalore/Bengaluru,Karnataka + 15 more",11 years old,51-200 employees (India),
4696,Harita Techserv,3.5,(86 Reviews),"Chennai,Tamil Nadu + 6 more",26 years old,201-500 employees (Global),
4697,Sophos Technologie...,3.9,(86 Reviews),Private,"Ahmedabad,Gujarat + 4 more",23 years old,501-1k employees (India)
4698,Shiva Pharmachem,4.0,(86 Reviews),"Vadodara/Baroda,Gujarat + 2 more",21 years old,201-500 employees (Global),
4699,Teerthanker Mahave...,3.5,(86 Reviews),"Moradabad,Uttar Pradesh + 4 more",14 years old,501-1k employees (Global),
4700,Fulcrum Worldwide ...,3.6,(86 Reviews),Private,Jersey City,23 years old,501-1k employees (Global)
4701,Celio Future Fashi...,4.7,(86 Reviews),Private,Saint Quen + 21 more,37 years old,501-1k employees (India)
4702,Gapbridge Software...,4.3,(86 Reviews),Private,Bengaluru + 19 more,12 years old,201-500 employees (Global)
4703,High Court Lucknow,4.4,(86 Reviews),Lucknow + 17 more,201-500 employees (Global),,
4704,EFKON INDIA,3.4,(86 Reviews),Private,"Gurgaon/Gurugram,Haryana + 12 more",21 years old,50k-1 Lakh employees (Global)
4705,SAVA Healthcare,4.2,(86 Reviews),"Pune,Maharashtra + 5 more",19 years old,501-1k employees (Global),
4706,Knack Global,3.5,(86 Reviews),Woodbridge + 4 more,15 years old,501-1k employees (India),
4707,Radix Electrosyste...,3.0,(86 Reviews),"Navi Mumbai,Maharashtra + 9 more",42 years old,201-500 employees (Global),
4708,Rabindranath Tagor...,4.2,(86 Reviews),Kolkata + 3 more,22 years old,201-500 employees (India),
4709,Simpson,3.8,(86 Reviews),Chennai + 2 more,182 years old,201-500 employees (India),
4710,Matix Fertilisers ...,4.0,(86 Reviews),Private,"Mumbai,Maharashtra + 6 more",13 years old,501-1k employees (Global)
4711,SONATRACH,4.4,(86 Reviews),Other,Algiers,59 years old,1-10 employees (India)
4712,Binani Cement,4.2,(86 Reviews),Mumbai + 14 more,26 years old,1k-5k employees (Global),
4713,Tata Memorial Hosp...,4.3,(86 Reviews),Private,Mumbai + 5 more,81 years old,1k-5k employees (India)
4714,Mayur Uniquoters,4.0,(86 Reviews),Public,"Jaipur,Rajasthan + 1 more",30 years old,501-1k employees (India)
4715,Bgs Global Hospita...,3.8,(86 Reviews),Private,Bengaluru,23 years old,1k-5k employees (Global)
4716,Doubtnut,3.3,(86 Reviews),Private,Gurgaon + 11 more,6 years old,201-500 employees (India)
4717,RAXA,4.0,(86 Reviews),Private,New Delhi + 14 more,17 years old,11-50 employees (Global)
4718,Vinati Organics,4.1,(86 Reviews),Public,"Mumbai,Maharashtra + 6 more",33 years old,501-1k employees (India)
4719,Intelliswift Softw...,3.7,(86 Reviews),Private,"Newark,New Jersey + 4 more",21 years old,201-500 employees (Global)
4720,Home Centre,4.3,(86 Reviews),Dubai + 20 more,27 years old,,
4721,Smart Drive System...,3.6,(86 Reviews),Private,"San Diego,California",18 years old,201-500 employees (India)
4722,Clove Dental,3.5,(86 Reviews),"Delhi/NCR,New Delhi + 11 more",11 years old,501-1k employees (Global),
4723,Genus Electrotech,3.7,(86 Reviews),Private,Gandhidham + 8 more,23 years old,501-1k employees (Global)
4724,Butterfly Gandhima...,4.3,(86 Reviews),Public,"Chennai,Tamil Nadu + 13 more",36 years old,201-500 employees (India)
4725,Sami-Sabinsa Group...,3.4,(86 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 5 more",31 years old,201-500 employees (Global)
4726,Sterling Oil Explo...,3.8,(86 Reviews),Private,Lagos + 4 more,17 years old,10k-50k employees (Global)
4727,Fipola Retail,4.9,(86 Reviews),Private,South India + 4 more,6 years old,1k-5k employees (India)
4728,Livguard,4.3,(86 Reviews),Private,Gurgaon + 9 more,8 years old,501-1k employees (India)
4729,Veeraraghavan & Co...,3.5,(86 Reviews),Private,Andheri + 10 more,33 years old,201-500 employees (Global)
4730,SLMG Beverages,3.8,(86 Reviews),Lucknow + 13 more,201-500 employees (India),,
4731,Bada Business,3.6,(86 Reviews),New Delhi + 19 more,3 years old,201-500 employees (Global),
4732,Shalimar Corp,4.0,(86 Reviews),Lucknow + 6 more,501-1k employees (India),,
4733,Meneta Automotive ...,3.6,(86 Reviews),Private,Sonipat + 4 more,15 years old,501-1k employees (Global)
